採集時間,球賽編號,旗徽,對賽隊伍,場地,預定截止投注時間,即場投注,主隊賠率,和賠率,客隊賠率
2022-03-21 19:13:12,星期一 4,,海牙 對 泰斯達,,22/03 03:00,,1.59,3.75,4.30
2022-03-21 19:13:12,星期一 6,,高車士打 對 格連森林,,22/03 03:45,,3.55,3.20,1.87
2022-03-21 19:13:12,星期一 7,,特內里費 對 艾美利亞,,22/03 04:00,,2.38,2.90,2.75
2022-03-21 19:13:12,星期一 8,,安圖法加斯達 對 卡拉雷聯,,22/03 04:57,,2.12,3.05,3.05
2022-03-21 19:13:12,星期一 9,,防衛者 對 沙蘭迪兵工廠,,22/03 06:15,,1.48,3.70,5.50
2022-03-21 19:13:12,星期一 10,,艾斯賓路拿 對 紐柏萊斯,,22/03 07:27,,2.17,3.15,2.85
2022-03-21 19:13:12,星期一 11,,小阿根廷人 對 沙士菲,,22/03 08:30,,2.06,2.80,3.50
2022-03-21 19:13:12,星期二 9,,圖庫曼體育會 對 CA科爾多瓦中央,,23/03 06:15,,2.68,3.00,2.37
2022-03-21 19:13:12,星期二 11,,泰拿尼斯 對 葛度爾古斯,,23/03 08:30,,2.17,2.95,3.05
2022-03-21 19:13:45,星期一 4,,海牙 對 泰斯達,,22/03 03:00,,1.59,3.75,4.30
2022-03-21 19:13:45,星期一 6,,高車士打 對 格連森林,,22/03 03:45,,3.55,3.20,1.87
2022-03-21 19:13:45,星期一 7,,特內里費 對 艾美利亞,,22/03 04:00,,2.38,2.90,2.75
2022-03-21 19:13:45,星期一 8,,安圖法加斯達 對 卡拉雷聯,,22/03 04:57,,2.12,3.05,3.05
2022-03-21 19:13:45,星期一 9,,防衛者 對 沙蘭迪兵工廠,,22/03 06:15,,1.48,3.70,5.50
2022-03-21 19:13:45,星期一 10,,艾斯賓路拿 對 紐柏萊斯,,22/03 07:27,,2.17,3.15,2.85
2022-03-21 19:13:45,星期一 11,,小阿根廷人 對 沙士菲,,22/03 08:30,,2.06,2.80,3.50
2022-03-21 19:13:45,星期二 9,,圖庫曼體育會 對 CA科爾多瓦中央,,23/03 06:15,,2.68,3.00,2.37
2022-03-21 19:13:46,星期二 11,,泰拿尼斯 對 葛度爾古斯,,23/03 08:30,,2.17,2.95,3.05
2022-03-21 19:14:18,星期一 4,,海牙 對 泰斯達,,22/03 03:00,,1.59,3.75,4.30
2022-03-21 19:14:18,星期一 6,,高車士打 對 格連森林,,22/03 03:45,,3.55,3.20,1.87
2022-03-21 19:14:18,星期一 7,,特內里費 對 艾美利亞,,22/03 04:00,,2.38,2.90,2.75
2022-03-21 19:14:18,星期一 8,,安圖法加斯達 對 卡拉雷聯,,22/03 04:57,,2.12,3.05,3.05
